Hub Name,From Route,To Route,Bad Connections (1-5 min)
PEARL @ ROSS - S - NS,106,620,1620
PEARL @ ROSS - S - NS,ORANGE,224,1616
PEARL @ ROSS - S - NS,147,205,1613
PEARL @ ROSS - S - NS,145,237,1610
PEARL @ ROSS - S - NS,102,106,1604
PEARL @ ROSS - S - NS,GREEN,207,1603
PEARL @ ROSS - S - NS,102,230,1594
PARK @ SHADY BROOK - E - MB,027,020,1592
PEARL @ ROSS - S - NS,102,237,1585
PEARL @ ROSS - S - NS,ORANGE,214,1573
PEARL @ ROSS - S - NS,109,224,1572
PEARL @ ROSS - S - NS,109,106,1571
PEARL @ ROSS - S - NS,147,224,1566
PEARL @ ROSS - S - NS,147,207,1565
PEARL @ ROSS - S - NS,145,224,1564
PEARL @ ROSS - S - NS,109,237,1564
PEARL @ ROSS - S - NS,RED,TRE,1559
PEARL @ ROSS - S - NS,109,205,1552
GASTON @ LIBERTY - N - NS,009,GREEN,1551
PEARL @ ROSS - S - NS,109,145,1550
PEARL @ ROSS - S - NS,109,230,1547
PEARL @ ROSS - S - NS,102,214,1545
PEARL @ ROSS - S - NS,128,249,1542
PEARL @ ROSS - S - NS,145,230,1540
PEARL @ ROSS - S - NS,ORANGE,207,1540
PEARL @ ROSS - S - NS,RED,239,1538
PEARL @ ROSS - S - NS,RED,308,1534
PEARL @ ROSS - S - NS,BLUE,103,1533
BLACKBURN @ COLE - E - NS,425,023,1531
PEARL @ ROSS - S - NS,147,230,1519
PEARL @ ROSS - S - NS,016,018,1515
PEARL @ ROSS - S - NS,102,009,1503
PEARL @ ROSS - S - NS,145,205,1496
PEARL @ ROSS - S - NS,237,BLUE,1490
PEARL @ ROSS - S - NS,013,239,1485
PEARL @ ROSS - S - NS,102,224,1483
PEARL @ ROSS - S - NS,018,016,1478
PEARL @ ROSS - S - NS,RED,103,1477
PEARL @ ROSS - S - NS,106,249,1475
PEARL @ ROSS - S - NS,016,ORANGE,1474
PEARL @ ROSS - S - NS,016,013,1470
PEARL @ ROSS - S - NS,128,103,1464
WEBB CHAPEL EXT @ TIMBERLINE - N - FS,233,020,1446
PEARL @ ROSS - S - NS,016,BLUE,1440
PEARL @ ROSS - S - NS,102,145,1430
PEARL @ ROSS - S - NS,106,102,1430
PEARL @ ROSS - S - NS,016,RED,1427
PEARL @ ROSS - S - NS,009,308,1419
PEARL @ ROSS - S - NS,102,205,1418
PEARL @ ROSS - S - NS,016,003,1417
PEARL @ ROSS - S - NS,145,106,1411
PEARL @ ROSS - S - NS,207,RED,1407
PEARL @ ROSS - S - NS,237,RED,1403
PEARL @ ROSS - S - NS,016,147,1400
HAMPTON @ SINGLETON - N - MB,101,128,1399
PEARL @ ROSS - S - NS,145,207,1398
PEARL @ ROSS - S - NS,016,109,1392
PEARL @ ROSS - S - NS,145,425,1390
PEARL @ ROSS - S - NS,237,003,1386
PEARL @ ROSS - S - NS,016,128,1384
PEARL @ ROSS - S - NS,016,230,1383
PEARL @ ROSS - S - NS,147,106,1383
PEARL @ ROSS - S - NS,018,ORANGE,1379
PEARL @ ROSS - S - NS,013,308,1377
PEARL @ ROSS - S - NS,147,102,1376
PEARL @ ROSS - S - NS,207,ORANGE,1376
PEARL @ ROSS - S - NS,147,425,1373
PEARL @ ROSS - S - NS,207,BLUE,1371
PEARL @ ROSS - S - NS,237,018,1370
PEARL @ ROSS - S - NS,237,ORANGE,1364
PEARL @ ROSS - S - NS,018,GREEN,1360
PEARL @ ROSS - S - NS,018,RED,1359
PEARL @ ROSS - S - NS,BLUE,TRE,1358
PEARL @ ROSS - S - NS,GREEN,103,1357
PEARL @ ROSS - S - NS,207,009,1356
PEARL @ ROSS - S - NS,237,016,1355
PEARL @ ROSS - S - NS,016,GREEN,1354
PEARL @ ROSS - S - NS,018,147,1354
PEARL @ ROSS - S - NS,237,013,1352
PEARL @ ROSS - S - NS,009,620,1349
PEARL @ ROSS - S - NS,018,003,1342
PEARL @ ROSS - S - NS,207,237,1341
PEARL @ ROSS - S - NS,013,103,1341
PEARL @ ROSS - S - NS,016,145,1336
PEARL @ ROSS - S - NS,018,013,1335
PEARL @ ROSS - S - NS,147,249,1334
BACHMAN STATION,020,ORANGE,1329
PEARL @ ROSS - S - NS,009,103,1329
PEARL @ ROSS - S - NS,018,BLUE,1329
PEARL @ ROSS - S - NS,016,106,1328
GASTON @ LIBERTY - N - NS,009,214,1326
PEARL @ ROSS - S - NS,207,013,1326
BACHMAN STATION,020,233,1325
PEARL @ ROSS - S - NS,102,425,1324
PEARL @ ROSS - S - NS,018,009,1322
PEARL @ ROSS - S - NS,106,308,1318
PEARL @ ROSS - S - NS,237,009,1316
PEARL @ ROSS - S - NS,237,GREEN,1316
PEARL @ ROSS - S - NS,RED,306,1316
PEARL @ ROSS - S - NS,018,237,1308
PEARL @ ROSS - S - NS,237,214,1307
PEARL @ ROSS - S - NS,207,102,1307
COCKRELL HILL TL,025,009,1306
PEARL @ ROSS - S - NS,207,018,1304
MAPLE @ CLARA - S - NS,023,001,1302
PEARL @ MCKINNEY - S - FS,425,001,1301
PEARL @ ROSS - S - NS,128,308,1301
PEARL @ ROSS - S - NS,GREEN,308,1299
PEARL @ ROSS - S - NS,207,GREEN,1295
HAMPTON @ SINGLETON - N - MB,101,106,1290
PEARL @ ROSS - S - NS,BLUE,239,1288
PEARL @ ROSS - S - NS,207,003,1288
PEARL @ ROSS - S - NS,016,009,1287
PEARL @ ROSS - S - NS,018,128,1285
PEARL @ ROSS - S - NS,016,214,1283
PEARL @ ROSS - S - NS,145,249,1283
PEARL @ ROSS - S - NS,237,147,1280
PEARL @ ROSS - S - NS,GREEN,620,1276
PEARL @ ROSS - S - NS,214,RED,1276
PEARL @ ROSS - S - NS,207,109,1276
PEARL @ ROSS - S - NS,237,128,1274
PEARL @ ROSS - S - NS,214,013,1273
PEARL @ ROSS - S - NS,207,147,1270
PEARL @ ROSS - S - NS,013,620,1265
PEARL @ ROSS - S - NS,109,249,1264
PEARL @ ROSS - S - NS,237,001,1261
MALCOLM X @ MLK - S - NS,104,001,1260
PEARL @ ROSS - S - NS,230,RED,1259
PEARL @ ROSS - S - NS,237,145,1250
PEARL @ ROSS - S - NS,109,425,1250
PEARL @ ROSS - S - NS,237,102,1249
PEARL @ ROSS - S - NS,230,016,1244
PEARL @ ROSS - S - NS,016,001,1240
PEARL @ ROSS - S - NS,102,207,1240
PEARL @ ROSS - S - NS,214,147,1240
PEARL @ ROSS - S - NS,009,239,1235
KIEST @ SUNNYVALE - E - NS,141,114,1235
PEARL @ ROSS - S - NS,207,128,1234
PEARL @ ROSS - S - NS,018,001,1232
PEARL @ ROSS - S - NS,237,109,1229
IH 635 @ PRESTON - W - MB,022,237,1228
PEARL @ ROSS - S - NS,237,106,1223
PEARL @ ROSS - S - NS,207,145,1215
PEARL @ ROSS - S - NS,ORANGE,308,1215
PEARL @ ROSS - S - NS,214,BLUE,1214
PEARL @ ROSS - S - NS,102,620,1210
PEARL @ ROSS - S - NS,018,145,1210
PEARL @ ROSS - S - NS,214,109,1208
PEARL @ ROSS - S - NS,018,205,1207
PEARL @ ROSS - S - NS,207,214,1201
PEARL @ ROSS - S - NS,214,128,1200
PEARL @ ROSS - S - NS,018,109,1199
PEARL @ ROSS - S - NS,GREEN,TRE,1198
PEARL @ ROSS - S - NS,207,016,1196
PEARL @ ROSS - S - NS,ORANGE,103,1195
PEARL @ ROSS - S - NS,230,BLUE,1194
PEARL @ ROSS - S - NS,016,102,1192
PEARL @ ROSS - S - NS,230,003,1190
PEARL @ ROSS - S - NS,102,249,1186
PEARL @ ROSS - S - NS,214,003,1186
PEARL @ ROSS - S - NS,214,018,1186
PEARL @ ROSS - S - NS,214,016,1186
PEARL @ ROSS - S - NS,001,128,1182
PEARL @ ROSS - S - NS,147,620,1180
PEARL @ ROSS - S - NS,207,001,1176
PEARL @ ROSS - S - NS,001,ORANGE,1173
PEARL @ ROSS - S - NS,001,147,1171
PEARL @ ROSS - S - NS,016,224,1170
PEARL @ ROSS - S - NS,128,620,1170
PEARL @ ROSS - S - NS,230,147,1168
PEARL @ ROSS - S - NS,237,230,1165
PEARL @ ROSS - S - NS,001,RED,1163
PEARL @ ROSS - S - NS,109,207,1162
PEARL @ ROSS - S - NS,207,205,1161
PEARL @ ROSS - S - NS,109,620,1161
PEARL @ ROSS - S - NS,001,106,1160
PEARL @ ROSS - S - NS,230,013,1159
PEARL @ ROSS - S - NS,001,BLUE,1158
PEARL @ ROSS - S - NS,214,001,1156
PEARL @ ROSS - S - NS,214,ORANGE,1155
CEDAR SPRINGS @ KNIGHT- S - NS,103,023,1155
PEARL @ ROSS - S - NS,016,205,1150
PEARL @ ROSS - S - NS,ORANGE,TRE,1150
PEARL @ ROSS - S - NS,018,102,1150
PEARL @ ROSS - S - NS,207,224,1149
PEARL @ ROSS - S - NS,230,128,1145
PEARL @ ROSS - S - NS,018,106,1144
PEARL @ ROSS - S - NS,001,003,1144
PEARL @ ROSS - S - NS,018,224,1143
PEARL @ ROSS - S - NS,013,TRE,1143
PEARL @ ROSS - S - NS,230,GREEN,1142
PEARL @ ROSS - S - NS,016,425,1140
PEARL @ ROSS - S - NS,001,GREEN,1139
PEARL @ ROSS - S - NS,214,224,1135
PEARL @ ROSS - S - NS,003,306,1135
PEARL @ ROSS - S - NS,001,016,1135
PEARL @ ROSS - S - NS,230,109,1129
PEARL @ ROSS - S - NS,214,145,1127
PEARL @ ROSS - S - NS,214,GREEN,1127
PEARL @ ROSS - S - NS,230,ORANGE,1126
PEARL @ ROSS - S - NS,214,009,1126
PEARL @ ROSS - S - NS,237,224,1125
PEARL @ ROSS - S - NS,018,230,1116
PEARL @ ROSS - S - NS,016,237,1114
PEARL @ ROSS - S - NS,214,230,1111
FERGUSON @ JOAQUIN - S - FS,018,016,1109
PEARL @ ROSS - S - NS,BLUE,306,1106
PEARL @ ROSS - S - NS,230,145,1103
PEARL @ ROSS - S - NS,237,205,1102
PEARL @ ROSS - S - NS,001,018,1101
PEARL @ ROSS - S - NS,001,013,1098
PEARL @ ROSS - S - NS,001,009,1092
PEARL @ ROSS - S - NS,147,308,1087
PEARL @ ROSS - S - NS,018,214,1080
WESTMORELAND STATION,025,057,1079
HAMPTON @ SINGLETON - N - MB,128,219,1077
JEFFERSON @ FRANKLIN - E - FS,101,009,1076
PEARL @ ROSS - S - NS,145,308,1073
PEARL @ ROSS - S - NS,214,102,1068
PEARL @ ROSS - S - NS,145,620,1067
PEARL @ ROSS - S - NS,230,018,1065
PEARL @ ROSS - S - NS,214,106,1051
PEARL @ ROSS - S - NS,237,207,1049
PEARL @ ROSS - S - NS,009,TRE,1047
PEARL @ ROSS - S - NS,230,009,1044
ROSS @ BENNETT - S - NS,003,023,1044
BACHMAN STATION,020,213,1043
WEBB CHAPEL EXT @ TIMBERLINE - N - FS,020,233,1043
WESTMORELAND @ INVESTOR - N - NS,108,057,1035
PEARL @ ROSS - S - NS,214,237,1034
BAHAMA @ ALPACA - W - NS,101,102,1030
MALCOLM X @ MLK - S - NS,104,023,1030
PEARL @ ROSS - S - NS,230,106,1025
PEARL @ ROSS - S - NS,109,308,1024
GASTON @ LIBERTY - N - NS,009,249,1023
PEARL @ ROSS - S - NS,018,425,1021
PEARL @ ROSS - S - NS,230,224,1021
PEARL @ ROSS - S - NS,237,249,1021
PEARL @ ROSS - S - NS,237,425,1020
PEARL @ ROSS - S - NS,237,620,1015
WORCOLA @ SMU - N - MB2,017,440,1009
PEARL @ ROSS - S - NS,230,001,1009
PEARL @ ROSS - S - NS,001,205,1007
PEARL @ ROSS - S - NS,145,239,1007
JEFFERSON @ POLK - E - NS,219,009,1007
PEARL @ ROSS - S - NS,013,306,1005
PEARL @ ROSS - S - NS,128,TRE,1004
PEARL @ ROSS - S - NS,106,239,998
PEARL @ ROSS - S - NS,109,239,995
PEARL @ ROSS - S - NS,001,214,995
PEARL @ ROSS - S - NS,GREEN,239,994
PEARL @ ROSS - S - NS,102,308,992
PEARL @ ROSS - S - NS,018,207,989
PEARL @ ROSS - S - NS,207,106,987
PEARL @ ROSS - S - NS,001,230,986
BACHMAN STATION,020,GREEN,980
PEARL @ ROSS - S - NS,230,102,975
WORCOLA @ SMU - N - MB2,440,017,973
PEARL @ ROSS - S - NS,230,237,973
PEARL @ ROSS - S - NS,214,425,968
PEARL @ ROSS - S - NS,016,207,965
PEARL @ ROSS - S - NS,224,RED,965
PEARL @ ROSS - S - NS,230,214,963
PEARL @ ROSS - S - NS,102,103,959
PEARL @ ROSS - S - NS,207,249,958
PEARL @ ROSS - S - NS,016,249,955
PEARL @ ROSS - S - NS,214,207,949
PEARL @ ROSS - S - NS,001,224,945
PEARL @ ROSS - S - NS,128,239,944
SHERMAN @ LINGCO - N - MB1,200,250,935
PEARL @ ROSS - S - NS,001,109,934
MALCOLM X @ MLK - S - NS,104,013,931
JEFFERSON @ POLK - E - NS,147,219,928
PEARL @ ROSS - S - NS,230,205,926
PEARL @ ROSS - S - NS,GREEN,306,925
PEARL @ ROSS - S - NS,207,425,924
PEARL @ ROSS - S - NS,001,237,923
DOWNTOWN GARLAND STATION,022,200,921
PEARL @ ROSS - S - NS,224,016,915
PEARL @ ROSS - S - NS,224,BLUE,914
PEARL @ ROSS - S - NS,224,018,912
ILLINOIS @ VALERIA - W - FS,108,025,908
WESTMORELAND STATION,104,025,904
PEARL @ ROSS - S - NS,224,GREEN,899
PEARL @ ROSS - S - NS,224,013,898
PEARL @ ROSS - S - NS,224,003,898
PEARL @ ROSS - S - NS,230,425,897
PEARL @ ROSS - S - NS,214,205,896
JEFFERSON @ POLK - E - NS,219,147,893
PEARL @ ROSS - S - NS,147,239,891
PEARL @ ROSS - S - NS,224,009,891
HAMPTON @ CLIFF TEEN CT - N - NS,101,104,890
PEARL @ ROSS - S - NS,009,306,890
BLACKBURN @ COLE - E - NS,425,207,888
HAMPTON @ SINGLETON - N - MB,128,102,887
PEARL @ ROSS - S - NS,102,239,887
